ID,z,d_l (Gpc),d_l (cm),log(4Ï€D_L^2),L_O3_B,L_O3_B_err,L_O3_N,L_O3_N_err,L_O3_single,L_O3_single_err,w_O3_B,w_O3_B_err,w_O3_N,w_O3_N_err,w_O3_single,w_O3_single_err,log w_O3_single,log (w_O3_single-error),EW_Hbeta,EW_Hbeta_err,Flux_Hbeta,Flux_Hbeta_err,L_Hbeta,L_Hbeta_err,logL(Hbeta),L-sigma,L-sigma FF,O-C LHb
CDFS019946,,,,,42.52,0.17,42.78,0.11,42.95,0.01,72.98,10.86,18.67,3.0,33.34,3.0,1.52,,31.76,9.36,29.56,8.71,42.14,0.13,,,,
5101001604,,,,,-99.9,-99.9,42.88,0.01,42.88,0.01,-99.9,-99.9,36.05,5.07,36.05,5.07,1.56,,38.35,4.62,22.69,2.73,42.3,0.05,,,,
CDFS018882,,,,,42.62,0.08,43.12,0.03,43.21,0.01,131.58,19.81,38.69,1.53,47.61,1.53,1.68,,31.59,3.7,21.56,2.53,42.35,0.05,,,,
5101421970,2.471,20.110,6.21E+28,58.685,42.67,0.11,42.99,0.07,43.14,0.01,100.95,14.48,36.7,2.55,47.96,2.55,1.68,1.657,49.72,3.01,46.96,2.84,42.36,0.03,42.36,41.71,41.69,0.65
UDS022487,3.0679,26.116,8.06E+28,58.912,42.78,0.26,43.21,0.12,43.33,0.01,95.38,22.64,39.02,3.65,48.37,3.65,1.68,1.651,85.33,8.95,30.84,3.24,42.40,0.05,42.40,41.73,41.71,0.67
510996058,2.4935,20.332,6.27E+28,58.694,-99.9,-99.9,42.48,0.03,42.48,0.03,-99.9,-99.9,52.0,11.9,52.0,11.9,1.72,1.603,50.55,13.64,24.72,6.67,42.09,0.12,42.09,41.89,41.87,0.20
CDFS020954,3.4993,30.575,9.43E+28,59.048,43.23,0.1,43.2,0.1,43.48,0.01,104.01,11.24,33.25,3.07,54.71,11.24,1.74,1.638,152.87,8.2,48.77,2.62,42.74,0.02,42.74,42.00,41.98,0.74
511001501,2.2247,17.698,5.46E+28,58.574,42.92,0.15,42.96,0.14,43.22,0.01,92.89,10.82,38.92,3.82,57.16,3.82,1.76,1.727,197.56,10.72,91.23,4.95,42.53,0.02,42.53,42.09,42.08,0.44
5100997733,,,,,42.87,0.08,43.1,0.05,43.28,0.01,93.54,15.86,42.17,2.86,58.24,2.86,1.77,,33.85,6.49,32.28,6.19,42.4,0.08,,,,
CDFS022799,2.5457,20.849,6.43E+28,58.716,42.63,0.19,43.02,0.1,43.16,0.0,93.54,19.68,48.45,2.39,58.35,2.39,1.77,1.748,80.30,3.83,52.63,2.51,42.44,0.02,42.44,42.14,42.12,0.30
UDS020394,3.3076,28.583,8.82E+28,58.990,42.45,0.08,42.96,0.03,43.05,0.01,135.46,25.61,55.8,2.2,66.54,2.2,1.82,1.808,125.37,19.01,18.83,2.86,42.27,0.07,42.26,42.42,42.41,-0.16
5101444192,3.4205,29.754,9.18E+28,59.025,-99.9,-99.9,43.75,0.01,43.75,0.01,-99.9,-99.9,67.05,2.68,67.05,2.68,1.83,1.809,144.67,25.55,52.89,9.34,42.75,0.08,42.75,42.44,42.43,0.31
CDFS018182,2.3174,18.601,5.74E+28,58.617,42.79,0.06,42.66,0.07,43.01,0.01,93.54,3.4,34.8,2.53,67.84,2.53,1.83,1.815,50.43,2.57,44.58,2.27,42.27,0.02,42.27,42.47,42.45,-0.20
CDFS015347,,,,,-99.9,-99.9,42.94,0.02,42.94,0.02,-99.9,-99.9,72.95,4.4,72.95,4.4,1.86,,33.48,9.16,7.57,2.07,41.93,0.12,,,,
CDFS022563,,,,,-99.9,-99.9,42.88,0.02,42.88,0.02,-99.9,-99.9,75.24,3.61,75.24,3.61,1.88,1.855,69.8,13.53,13.17,2.55,42.01,0.08,,,,
UDS020437,,,,,42.73,0.13,43.16,0.06,43.26,0.01,210.37,52.76,64.94,3.91,76.89,3.91,1.89,1.863,49.2,3.26,32.76,2.17,42.47,0.03,,,,
UDS021601,,,,,-99.9,-99.9,42.83,0.02,42.83,0.02,-99.9,-99.9,78.34,3.71,78.34,3.71,1.89,1.873,48.74,11.54,13.26,3.14,42.13,0.1,,,,
511025693,,,,,43.4,0.07,43.42,0.06,43.69,0.0,132.1,7.66,56.55,2.48,80.32,2.48,1.90,1.891,146.06,5.24,82.9,2.98,42.89,0.02,,,,
530048433,,,,,42.72,0.03,43.21,0.01,43.29,0.01,60.4,5.27,57.91,1.6,82.7,1.6,1.9,1.909,130.37,38.23,82.11,24.08,42.53,0.13,,,,
5100998761,,,,,42.69,0.05,42.45,0.08,42.84,0.01,145.77,9.99,45.11,3.41,84.4,3.41,1.9,1.908,153.14,23.56,17.06,2.62,41.91,0.07,,,,
UDS021398,,,,,43.11,0.08,43.0,0.09,43.35,0.01,121.47,11.32,57.33,5.16,91.04,5.16,1.96,,47.3,16.05,64.64,21.94,42.5,0.15,,,,
530053714,,,,,-99.9,-99.9,42.86,0.01,42.86,0.01,-99.9,-99.9,91.19,2.04,91.19,2.04,1.96,,74.04,17.72,38.81,9.29,42.26,0.1,,,,
UDS020928,,,,,43.2,0.08,43.2,0.08,43.48,0.01,145.78,9.67,60.09,4.3,92.49,4.3,1.97,,61.98,10.73,39.55,6.85,42.53,0.08,,,,
511229433,,,,,43.49,0.05,43.48,0.05,43.77,0.0,133.06,5.44,66.73,2.15,92.62,2.15,1.97,,245.13,12.95,95.97,5.07,42.96,0.02,,,,
510994594,,,,,43.16,0.06,43.11,0.07,43.45,0.01,58.13,5.15,39.8,3.08,97.21,3.08,1.99,,49.48,5.33,30.92,3.33,42.48,0.05,,,,
511228062,,,,,43.1,0.07,43.15,0.06,43.38,0.01,196.84,15.86,69.14,3.92,99.22,3.92,2.00,,34.14,2.7,69.57,5.5,42.85,0.03,,,,
510583858,,,,,43.22,0.08,43.0,0.11,43.41,0.01,147.27,7.68,70.44,5.52,109.14,5.52,2.04,,64.94,4.48,87.15,6.01,42.6,0.03,,,,
CDFS019276,,,,,43.36,0.14,43.32,0.15,43.66,0.01,82.76,8.76,80.31,8.39,130.11,8.39,2.11,,53.65,3.11,108.28,6.27,43.05,0.03,,,,
CDFS023527,,,,,42.96,0.17,43.15,0.13,43.34,0.01,96.72,14.37,38.27,3.95,53.73,3.95,,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,,,,
511245444,,,,,43.04,0.26,43.36,0.15,43.51,0.01,97.24,18.26,45.3,4.44,56.69,4.44,,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,,,,
510838687,,,,,-99.9,-99.9,43.14,0.01,43.14,0.01,-99.9,-99.9,68.4,1.78,68.4,1.78,,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,,,,
511451385,,,,,-99.9,-99.9,42.77,0.01,42.77,0.01,-99.9,-99.9,93.53,2.7,93.53,2.7,,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,,,,
5100556178,,,,,-99.9,-99.9,43.13,0.02,43.13,0.02,-99.9,-99.9,102.02,2.32,102.02,2.32,,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,,,,
CDFS025828,,,,,-99.9,-99.9,42.97,0.01,42.97,0.01,-99.9,-99.9,58.65,2.64,58.65,2.64,,,11.7,4.24,11.06,4.01,42.05,0.16,,,,
UDS015872,,,,,-99.9,-99.9,42.78,0.05,42.75,0.05,-99.9,-99.9,67.91,4.24,76.84,4.24,,,25.95,2.55,38.73,3.81,42.2,0.04,,,,